No.     Time           Source                Destination           Protocol Length Info
     67 19.302348000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     68 19.302612000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     69 19.302999000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
     70 19.322751000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     71 19.323012000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     72 19.323176000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
     73 19.332878000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     74 19.339392000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     75 19.339602000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
     76 19.352831000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     77 19.353052000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     78 19.353190000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
     79 19.359818000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     80 19.366203000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     81 19.366269000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
     82 19.372654000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     83 19.386697000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     84 19.386786000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
     85 19.399820000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     86 19.400263000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     87 19.400326000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
     88 19.406697000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     89 19.406942000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     90 19.407019000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
     91 19.426105000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     92 19.432789000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     93 19.432911000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
     94 19.490111000   192.168.1.100         216.58.196.99         UDP      223    Source port: 58560  Destination port: https
     95 19.514405000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     96 19.514677000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     97 19.514868000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
     98 19.560642000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
     99 19.567622000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
    100 19.567849000   216.58.196.99         192.168.1.100         UDP      1392   Source port: https  Destination port: 58560
    101 19.567895000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
